0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9684 	 24.1575 	 1.4408 	 20.2002 	 14.0059 	 0.0253 	 970.5628 
0.9684 	 24.1575 	 1.4408 	 20.2002 	 14.0059 	 0.0253 	 970.5628 
0.0010 	 11.9524 	 10.6432 	 33.7749 	 15.6649 	 0.0170 	 991.6412 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.0010 	 12.0495 	 10.6480 	 33.7192 	 15.6190 	 0.0179 	 991.6475 
0.0010 	 11.9457 	 10.6399 	 33.8225 	 15.6632 	 0.0168 	 991.6398 
0.0020 	 8.1970 	 0.7078 	 10.9780 	 15.3335 	 1.0000 	 1483.3350 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9687 	 24.3164 	 1.4392 	 20.1989 	 13.9771 	 0.0257 	 970.5631 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.0010 	 11.9380 	 10.6363 	 33.8700 	 15.6617 	 0.0166 	 991.6395 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
0.9684 	 24.1575 	 1.4408 	 20.2002 	 14.0059 	 0.0253 	 970.5628 
0.0010 	 11.9526 	 10.6432 	 33.7749 	 15.6649 	 0.0170 	 991.6412 
0.9652 	 24.1422 	 1.4377 	 20.2490 	 14.0096 	 0.0252 	 970.5623 
