106.7744 	 0.1209 	 0.0104 	 0.0108 	 0.1806 	 67.9566 	 67.8556 	 0.5240 	 1844.7564 
114.5786 	 0.1187 	 0.0104 	 0.0109 	 0.1797 	 67.0763 	 66.9742 	 0.5243 	 1844.7567 
41.5300 	 1.8056 	 0.9488 	 2.2752 	 2.1876 	 78.6706 	 42.8985 	 0.6127 	 1848.4062 
100 	 0.1174 	 0.1524 	 0.1446 	 0.1091 	 89.9948 	 0.0071 	 0.5320 	 1844.9086 
59.0612 	 1.0501 	 1.2922 	 0.7954 	 1.3764 	 73.9126 	 69.4721 	 0.6127 	 1848.4062 
95.0491 	 0.1203 	 0.0104 	 0.0108 	 0.1807 	 68.9382 	 68.8347 	 0.5244 	 1844.7564 
31.4279 	 33.8782 	 37.9808 	 35.2559 	 38.4000 	 80.7703 	 81.7198 	 0.6127 	 1848.4062 
85.5608 	 1.1127 	 1.3321 	 1.1659 	 2.1417 	 72.1173 	 41.9281 	 0.6127 	 1848.4062 
75.6491 	 0.1915 	 3.9620 	 0.6228 	 1.2908 	 74.4001 	 37.2879 	 0.6127 	 1848.4062 
4.0863 	 0.1219 	 0.0100 	 0.0100 	 0.1735 	 87.7573 	 89.9935 	 0.5243 	 1844.7310 
3331 	 6.7601 	 4.9731 	 17.5992 	 0.0759 	 63.5415 	 21.2347 	 1.0000 	 2079.4415 
35.8305 	 37.7661 	 40.8650 	 38.1179 	 39.9016 	 81.0117 	 82.7443 	 0.6127 	 1848.4062 
10.5659 	 3.4147 	 0.0834 	 1.4927 	 1.1591 	 48.6106 	 78.3097 	 1.0000 	 2079.4415 
42.8009 	 3.4673 	 0.3853 	 0.7383 	 0.7310 	 79.9195 	 45.9358 	 0.6127 	 1848.4062 
42.4096 	 0.6387 	 40.1913 	 1.3600 	 1.7173 	 78.4660 	 39.5886 	 0.6127 	 1848.4062 
100 	 0.1174 	 0.1524 	 0.1446 	 0.1091 	 89.9948 	 0.0071 	 0.5320 	 1844.9086 
143.0167 	 24.4160 	 0.0112 	 25.9023 	 0.7704 	 67.5801 	 67.4629 	 0.5978 	 1847.6947 
39.3534 	 40.1287 	 43.7343 	 41.9731 	 43.6633 	 78.8854 	 80.7358 	 0.6127 	 1848.4062 
31.3110 	 33.2331 	 37.1431 	 41.9176 	 37.9278 	 82.4290 	 83.6459 	 0.6127 	 1848.4062 
100 	 0.1174 	 0.1524 	 0.1446 	 0.1091 	 89.9948 	 0.0068 	 0.5320 	 1844.9086 
8.1010 	 0.3466 	 13.0839 	 0.2552 	 5.1424 	 35.7352 	 72.7531 	 1.0000 	 2079.4415 
50.2508 	 0.8740 	 2.5039 	 2.6201 	 0.4639 	 76.8817 	 34.7615 	 0.6127 	 1848.4062 
95.7322 	 18.9243 	 2.3256 	 0.1481 	 1.6023 	 72.0273 	 51.7820 	 0.6127 	 1848.4062 
32.4898 	 22.8647 	 0.7007 	 1.6526 	 0.9492 	 82.7898 	 41.9246 	 0.6127 	 1848.4062 
100 	 0.1174 	 0.1524 	 0.1446 	 0.1091 	 89.9948 	 0.0069 	 0.5320 	 1844.9086 
24.7743 	 27.9230 	 65.2305 	 48.6973 	 34.3676 	 80.7525 	 81.4184 	 0.6127 	 1848.4062 
7.1478 	 4.6337 	 4.1318 	 0.2629 	 2.0752 	 15.9524 	 63.5345 	 1.0000 	 2079.4415 
66.4282 	 1.1492 	 0.9279 	 1.5367 	 1.6865 	 75.6185 	 72.9543 	 0.6127 	 1848.4062 
45.9683 	 1.0445 	 1.3808 	 0.9881 	 6.3746 	 77.6040 	 65.3528 	 0.6127 	 1848.4062 
32.7786 	 27.1345 	 1.5438 	 0.6829 	 0.9872 	 81.6964 	 25.7670 	 0.6127 	 1848.4062 
23.2337 	 0.1652 	 1.1885 	 0.0654 	 4.5402 	 22.9835 	 45.5361 	 1.0000 	 2079.4415 
16.5138 	 23.6129 	 0.8759 	 0.0352 	 0.0380 	 23.2270 	 75.6543 	 1.0000 	 2079.4415 
